一擔擔	[jat1 daam1 daam1]		[jat1 daam1 daam1] 半斤八两，彼此差不多（多含贬义）〈熟语〉
心悒	[sam1 jap1]		[sam1 jap1] 心里难过，酸楚，揪心心疼〈形〉
心慌	[sam1 fong1]		[sam1 fong1] 心里发慌，恐慌不安〈形〉
心水	[sam1 seoi2]		[sam1 seoi2] 中意，喜爱，中意的选择〈名/形〉
心痛	[sam1 tung3]		[sam1 tung3] 心疼，惋惜伤心〈动/形〉
快	[faai3]		[faai3] 快，快速〈形/副〉
急	[gap1]		[gap1] 急，急切，着急〈形〉
感冒	[gam2 mou6]		[gam2 mou6] 感冒，患伤风〈名/动〉
慢	[maan6]		[maan6] 慢，缓慢〈形/副〉
慢慢行	[maan6 maan6 haang4]		[maan6 maan6 haang4] 慢走（送客礼貌用语）〈短语〉
慳	[haan1]		[haan1] 省，节省，节约〈动〉
憎	[zang1]		[zang1] 讨厌，厌恶，憎恨〈动〉
應酬	[jing3 cau4]		[jing3 cau4] 应酬，商务交际与聚餐〈动/名〉
我	[ngo5]		[ngo5] 我〈代〉
我哋	[ngo5 dei6]		[ngo5 dei6] 我们〈代〉
所以	[so2 ji5]		[so2 ji5] 所以，因此〈连〉
手信	[sau2 seon3]		[sau2 seon3] 伴手礼，特产礼物，纪念品〈名〉
手足	[sau2 zuk1]		[sau2 zuk1] 手足，兄弟，同伴〈名〉
手頭緊	[sau2 tau4 gan2]		[sau2 tau4 gan2] 手头紧，资金周转拮据〈形〉
打包	[daa2 baau1]		[daa2 baau1] 打包（吃不完带走）〈动〉
打工仔	[daa2 gung1 zai2]		[daa2 gung1 zai2] 打工者，上班族〈名〉
打蛇隨棍上	[daa2 se4 ceoi4 gwan3 soeng5]		[daa2 se4 ceoi4 gwan3 soeng5] 顺水推舟，就坡下驴，借机顺势而为〈熟语〉
打風	[daa2 fung1]		[daa2 fung1] 刮台风，刮大风〈动〉
打骰	[daa2 sik1]		[daa2 sik1] 主持大局，掌管，拿主意〈动〉
托塔都掂	[tok3 taap3 dou1 dim6]		[tok3 taap3 dou1 dim6] 无论多难的事都能办成，绝对没问题〈熟语〉
扭計	[nau2 gai2]		[nau2 gai2] 耍脾气，闹别扭（多指小孩撒娇哭闹）〈动〉
扮嘢	[baan6 je5]		[baan6 je5] 装模作样，装蒜，耍花样〈动〉
扮豬食老虎	[baan6 zyu1 sik6 lou5 fu2]		[baan6 zyu1 sik6 lou5 fu2] 装傻充愣，故意示弱以麻痹对手暗中取胜〈熟语〉
扯貓尾	[ce2 maau1 mei5]		[ce2 maau1 mei5] 唱双簧，串通一气，暗中合谋互相掩护演戏〈熟语〉
找錢	[zaau2 cin2]		[zaau2 cin2] 找零钱〈动〉
抵	[dai2]		[dai2] 划算，值，合算〈形〉
抹窗	[maat3 coeng1]		[maat3 coeng1] 擦窗户〈动〉
拖地	[to1 dei6]		[to1 dei6] 拖地〈动〉
拖板	[to1 baan2]		[to1 baan2] 接线板，插线板，排插〈名〉
拜拜	[baai1 baai3]		[baai1 baai3] 再见，拜拜〈叹〉
掃地	[sou3 dei6]		[sou3 dei6] 扫地〈动〉
排骨	[paai4 gwat1]		[paai4 gwat1] 豉汁蒸排骨〈名〉
搏命	[bok3 meng6]		[bok3 meng6] 拼命，极度卖力，全力以赴〈动〉
搞	[gaau2]		[gaau2] 搞，弄，办〈动〉
搞掂	[gaau2 dim6]		[gaau2 dim6] 办妥，弄好，搞定〈动〉
搞生意	[gaau2 saang1 ji3]		[gaau2 saang1 ji3] 做生意，创业经商〈动〉
搭枱	[daap3 toi2]		[daap3 toi2] 拼桌，与陌生人共用一张桌子〈动〉
搭車	[daap3 ce1]		[daap3 ce1] 坐车，乘车〈动〉
搵	[wan2]		[wan2] 找，寻找，挣（钱）〈动〉
摺衫	[zip3 saam1]		[zip3 saam1] 叠衣服〈动〉
撐枱腳	[caang1 toi2 goek3]		[caang1 toi2 goek3] 二人共进晚餐（通常指情侣或夫妻共度浪漫晚餐）〈动〉
攞	[lo2]		[lo2] 拿，取〈动〉
攰	[gui6]		[gui6] 累，疲乏〈形〉
放學	[fong3 hok6]		[fong3 hok6] 放学〈动〉
放工	[fong3 gung1]		[fong3 gung1] 下班〈动〉
放心	[fong3 sam1]		[fong3 sam1] 放心〈动/形〉
放飛機	[fong3 fei1 gei1]		[fong3 fei1 gei1] 爽约，失约，放鸽子〈动〉
散紙	[saan2 zi2]		[saan2 zi2] 零钱，硬币〈名〉
整	[zing2]		[zing2] 做，弄，修，烹调〈动〉
斑馬線	[baan1 maa5 sin3]		[baan1 maa5 sin3] 斑马线，人行横道〈名〉
新鮮	[san1 sin1]		[san1 sin1] 新鲜〈形〉
早	[zou2]		[zou2] 早〈形/副〉
晒	[saai3]		[saai3] 全部，光，完（表示完全或极度）〈助〉
曬衫	[saai3 saam1]		[saai3 saam1] 晾衣服，晒衣服〈动〉
有	[jau5]		[jau5] 有，存在〈动〉
朋友	[pang4 jau5]		[pang4 jau5] 朋友〈名〉
朝早	[ziu1 zou2]		[ziu1 zou2] 早上，早晨〈名〉
梳化	[so1 faa2]		[so1 faa2] 沙发〈名〉
楊枝甘露	[joeng4 zi1 gam1 lou6]		[joeng4 zi1 gam1 lou6] 杨枝甘露（芒果西米柚子经典甜汤）〈名〉
樖	[po1]		[po1] 棵（量词，用于树木植物）〈量〉
樽	[zeon1]		[zeon1] 瓶（量词/名词，瓶子）〈量/名〉
機場	[gei1 coeng4]		[gei1 coeng4] 机场，航空港〈名〉
正	[zeng3]		[zeng3] 棒，正宗，极好〈形〉
死雞撐飯蓋	[sei2 gai1 caang1 faan6 goi3]		[sei2 gai1 caang1 faan6 goi3] 死不认错，铁证如山依然硬拗抵赖〈熟语〉
死頂	[sei2 ding2]		[sei2 ding2] 硬撑，咬牙坚持到底〈动〉
毫子	[hou4 zi2]		[hou4 zi2] 角，毛（一角钱硬币）〈量/名〉
水過鴨背	[seoi2 gwo3 aap3 bui3]		[seoi2 gwo3 aap3 bui3] 像水从鸭背流过一样毫无痕迹，转眼全忘光〈熟语〉
沖涼	[cung1 loeng4]		[cung1 loeng4] 洗澡，沐浴〈动〉
洗手	[sai2 sau2]		[sai2 sau2] 洗手〈动〉
洗衫	[sai2 saam1]		[sai2 saam1] 洗衣服〈动〉
洗面	[sai2 min6]		[sai2 min6] 洗脸〈动〉
涼茶	[loeng4 caa4]		[loeng4 caa4] 凉茶（广府草药降火饮品）〈名〉
添	[tim1]		[tim1] 还，再，连...也（表示递进或强调）〈助/副〉
滑蛋牛肉	[waat6 daan2 ngau4 juk6]		[waat6 daan2 ngau4 juk6] 滑蛋牛肉饭（经典茶餐厅碟头饭）〈名〉
激氣	[gik1 hei3]		[gik1 hei3] 气人，惹人生气〈动/形〉
濕熱	[sap1 jit6]		[sap1 jit6] 湿热（岭南气候特征）〈形〉
濕碎	[sap1 seoi3]		[sap1 seoi3] 琐碎，微不足道，小事一桩〈形〉
灼	[coek3]		[coek3] 白灼（沸水烫熟以保持食材鲜甜嫩滑）〈动〉
炒散	[caau2 saan2]		[caau2 saan2] 打零工，兼职，做兼职临时工〈动〉
炒魷魚	[caau2 jau4 jyu4]		[caau2 jau4 jyu4] 解雇，开除，卷铺盖走人〈动〉
焗	[guk6]		[guk6] 焗，烘焙（利用密封蒸汽或烤炉加热）〈动〉
無端端	[mou4 dyun1 dyun1]		[mou4 dyun1 dyun1] 无缘无故，平白无故〈副〉
煎釀三寶	[zin1 joeng6 saam1 bou2]		[zin1 joeng6 saam1 bou2] 煎酿三宝（酿鲮鱼肉馅的街头小吃）〈名〉
煲	[bou1]		[bou1] 煲，煮（用锅慢熬）；砂锅〈动/名〉
煲仔飯	[bou1 zai2 faan6]		[bou1 zai2 faan6] 煲仔饭〈名〉
熄	[sik1]		[sik1] 关掉，熄灭（灯、电器）〈动〉
熱	[jit6]		[jit6] 热，炎热〈形〉
熱氣	[jit6 hei3]		[jit6 hei3] 上火，燥热（因吃煎炸食品等引起）〈形/名〉
燉	[dan6]		[dan6] 隔水炖（保持原汁原味的烹饪法）〈动〉
燒味	[siu1 mei2]		[siu1 mei2] 烧味（烧鹅/叉烧/烧肉等）〈名〉
燒賣	[siu1 maai6]		[siu1 maai6] 干蒸烧卖〈名〉
燒鵝	[siu1 ngo4]		[siu1 ngo4] 烧鹅（皮脆肉嫩的经典广式烧味）〈名〉
爽脆	[song2 ceoi3]		[song2 ceoi3] 爽口脆嫩，口感鲜脆〈形〉
牙擦	[ngaa4 caat3]		[ngaa4 caat3] 嚣张，爱吹嘘，狂妄自大〈形〉
牛腩	[ngau4 naam5]		[ngau4 naam5] 牛腩（柱侯牛腩）〈名〉
牛頭唔對馬嘴	[ngau4 tau4 m4 deoi3 maa5 zeoi2]		[ngau4 tau4 m4 deoi3 maa5 zeoi2] 答非所问，前言不搭后语〈熟语〉
琴日	[kam4 jat6]		[kam4 jat6] 昨天〈名〉
生性	[saang1 sing3]		[saang1 sing3] 懂事，乖巧成器，体谅父母〈形〉
生果	[saang1 gwo2]		[saang1 gwo2] 水果〈名〉
生猛	[saang1 maang5]		[saang1 maang5] 活蹦乱跳，充满生机〈形〉
畀	[bei2]		[bei2] 给，被，让〈动/介〉
番梘	[faan1 gaan2]		[faan1 gaan2] 肥皂，香皂〈名〉
發燒	[faat3 siu1]		[faat3 siu1] 发烧，发热〈动〉
發老脾	[faat3 lou5 pei4]		[faat3 lou5 pei4] 发脾气，大动肝火〈动〉
發脾氣	[faat3 pei4 hei3]		[faat3 pei4 hei3] 发脾气，发火〈动〉
白切雞	[baak6 cit3 gai1]		[baak6 cit3 gai1] 白斩鸡，白切鸡〈名〉
百厭	[baak3 jim3]		[baak3 jim3] 调皮，淘气捣蛋〈形〉
的士	[dik1 si2]		[dik1 si2] 出租车，的士〈名〉
真係	[zan1 hai6]		[zan1 hai6] 真的，实在〈副〉
眼瞓	[ngaan5 fan3]		[ngaan5 fan3] 困倦，发困，打瞌睡〈形〉
着衫	[zoek3 saam1]		[zoek3 saam1] 穿衣服〈动〉
睇	[tai2]		[tai2] 看，瞧，观察〈动〉
睇醫生	[tai2 ji1 sang1]		[tai2 ji1 sang1] 看医生，就医门诊〈动〉
瞓覺	[fan3 gaau3]		[fan3 gaau3] 睡觉〈动〉
知	[zi1]		[zi1] 知道〈动〉
碗仔翅	[wun2 zai2 ci3]		[wun2 zai2 ci3] 碗仔翅（仿鱼翅街头羹汤小吃）〈名〉
碼頭	[maa5 tau4]		[maa5 tau4] 轮渡码头〈名〉
等	[dang2]		[dang2] 等，等待，让〈动〉
篤	[doek1]		[doek1] 坨，滩，堆；尽头〈量/名〉
簽單	[cim1 daan1]		[cim1 daan1] 签署合同/单据，刷卡签单，成交〈动〉
粒	[nap1]		[nap1] 颗，粒（量词，用于小圆物）〈量〉
糖水	[tong4 seoi2]		[tong4 seoi2] 糖水，广式传统甜品〈名〉
紅綠燈	[hung4 luk6 dang1]		[hung4 luk6 dang1] 交通信号灯，红绿灯〈名〉
紙巾	[zi2 gan1]		[zi2 gan1] 纸巾，餐巾纸〈名〉
細	[sai3]		[sai3] 小，年幼〈形〉
細佬	[sai3 lou2]		[sai3 lou2] 弟弟〈名〉
細妹	[sai3 mui2]		[sai3 mui2] 妹妹〈名〉
細路	[sai3 lou6]		[sai3 lou6] 小孩，儿童〈名〉
緊	[gan2]		[gan2] 着，正（动态助词，表示动作正在进行）〈助〉
縮沙	[suk1 saa1]		[suk1 saa1] 退缩，临阵退缩，反悔〈动〉
總之	[zung2 zi1]		[zung2 zi1] 总之，总而言之〈连/副〉
老母	[lou5 mou5]		[lou5 mou5] 妈妈，母亲（日常口语称呼）〈名〉
老火湯	[lou5 fo2 tong1]		[lou5 fo2 tong1] 老火靓汤，煲汤〈名〉
老竇	[lou5 dau6]		[lou5 dau6] 爸爸，父亲（口语称呼）〈名〉
老細	[lou5 sai3]		[lou5 sai3] 老板〈名〉
而家	[ji4 gaa1]		[ji4 gaa1] 现在，目前〈名/副〉
耐	[noi6]		[noi6] 久，时间长〈形〉
聽	[teng1]		[teng1] 听，聆听〈动〉
聽日	[ting1 jat6]		[ting1 jat6] 明天〈名〉
肉	[juk6]		[juk6] 肉类〈名〉
肉緊	[juk6 gan2]		[juk6 gan2] 紧张心焦，极度投入，激动用力〈形〉
肚	[tou5]		[tou5] 肚子，腹部〈名〉
肚痛	[tou5 tung3]		[tou5 tung3] 腹痛，肚子痛〈动/形〉
肚餓	[tou5 ngo6]		[tou5 ngo6] 肚子饿，饥饿〈形〉
背脊	[bui3 zek3]		[bui3 zek3] 后背，背部〈名〉
腸粉	[coeng2 fan2]		[coeng2 fan2] 肠粉（布拉肠/抽屉肠粉）〈名〉
膝頭哥	[sat1 tau4 go1]		[sat1 tau4 go1] 膝盖〈名〉
膠袋	[gaau1 doi2]		[gaau1 doi2] 塑料袋〈名〉
自己	[zi6 gei2]		[zi6 gei2] 自己〈代〉
花灑	[faa1 saa2]		[faa1 saa2] 花洒，淋浴喷头〈名〉
花紅	[faa1 hung4]		[faa1 hung4] 奖金，年终奖，业绩分红〈名〉
茶几	[caa4 gei1]		[caa4 gei1] 茶几〈名〉
茶走	[caa4 zau2]		[caa4 zau2] 茶走（奶茶改用炼奶代替淡奶与砂糖）〈名〉
茶餐廳	[caa4 caan1 teng1]		[caa4 caan1 teng1] 茶餐厅〈名〉
菠蘿包	[bo1 lo4 baau1]		[bo1 lo4 baau1] 菠萝包〈名〉
菠蘿油	[bo1 lo4 jau4]		[bo1 lo4 jau4] 菠萝油（热菠萝面包夹厚切冰牛油）〈名〉
落車	[lok6 ce1]		[lok6 ce1] 下车〈动〉
落雨	[lok6 jyu5]		[lok6 jyu5] 下雨〈动〉
蒸	[zing1]		[zing1] 清蒸（粤菜讲究清鲜脆嫩的核心手法）〈动〉
蚊	[man1]		[man1] 元，块（钱的单位）〈量〉
蛇王	[se4 wong4]		[se4 wong4] 上班偷懒，摸鱼；偷懒的人〈动/名〉
蛋撻	[daan6 taat1]		[daan6 taat1] 蛋挞（酥皮/牛油皮蛋挞）〈名〉
蝦餃	[haa1 gaau2]		[haa1 gaau2] 虾饺（粤式点心之王）〈名〉
蠢	[ceon2]		[ceon2] 笨，蠢，不聪明〈形〉
行	[haang4]		[haang4] 走，步行〈动〉
行街	[haang4 gaai1]		[haang4 gaai1] 逛街，散步购物〈动〉
行路	[haang4 lou6]		[haang4 lou6] 走路，步行〈动〉
街市	[gaai1 si5]		[gaai1 si5] 菜市场〈名〉
衣櫃	[ji1 gwai6]		[ji1 gwai6] 衣柜〈名〉
西多士	[sai1 do1 si2]		[sai1 do1 si2] 法兰西多士（油炸裹蛋液吐司配牛油与糖浆）〈名〉
見工	[gin3 gung1]		[gin3 gung1] 面试，求职应聘〈动〉
親	[can1]		[can1] 到，及（动作触及某结果，多表意外受损）〈助〉
試下	[si3 haa5]		[si3 haa5] 试一下，尝一下〈动〉
論盡	[leon6 zeon6]		[leon6 zeon6] 笨手笨脚，动作不灵活，笨拙〈形〉
諗	[nam2]		[nam2] 想，思考，以为〈动〉
講	[gong2]		[gong2] 说，讲〈动〉
講價	[gong2 gaa3]		[gong2 gaa3] 讨价还价，讲价〈动〉
講數	[gong2 sou3]		[gong2 sou3] 谈判，交涉，摆平纠纷〈动〉
識	[sik1]		[sik1] 认识，懂得，会〈动〉
貴	[gwai3]		[gwai3] 昂贵〈形〉
買	[maai5]		[maai5] 买，购买〈动〉
賣	[maai6]		[maai6] 卖，出售〈动〉
走數	[zau2 sou3]		[zau2 sou3] 欠债潜逃，赖账，爽约食言〈动〉
起身	[hei2 san1]		[hei2 san1] 起床，起立〈动〉
跑	[paau2]		[paau2] 跑，奔跑〈动〉
跳槽	[tiu3 cou4]		[tiu3 cou4] 跳槽，跳槽换工作〈动〉
車仔麵	[ce1 zai2 min6]		[ce1 zai2 min6] 车仔面（香港平民自选配料汤面）〈名〉
返	[faan1]		[faan1] 恢复，返回，重新回到原态〈助/动〉
返學	[faan1 hok6]		[faan1 hok6] 上学〈动〉
返屋企	[faan1 uk1 kei2]		[faan1 uk1 kei2] 回家〈动〉
返工	[faan1 gung1]		[faan1 gung1] 上班〈动〉
過	[gwo3]		[gwo3] 过（表示经历；超过；重新）〈助/动〉
過數	[gwo3 sou3]		[gwo3 sou3] 转账，银行汇款〈动〉
過橋抽板	[gwo3 kiu4 cau1 baan2]		[gwo3 kiu4 cau1 baan2] 过河拆桥，得到好处后就背弃帮助过自己的人〈熟语〉
過馬路	[gwo3 maa5 lou6]		[gwo3 maa5 lou6] 过马路〈动〉
遞信	[dai6 seon3]		[dai6 seon3] 递交辞职信，辞职〈动〉
遮	[ze1]		[ze1] 雨伞；遮挡〈名/动〉
邊個	[bin1 go3]		[bin1 go3] 谁，哪一个〈代〉
邊度	[bin1 dou6]		[bin1 dou6] 哪里，哪儿〈代〉
醒目	[seng2 muk6]		[seng2 muk6] 聪明伶俐，机灵敏锐〈形〉
銀包	[ngan4 baau1]		[ngan4 baau1] 钱包〈名〉
錯	[co3]		[co3] 错，错误〈形〉
鍾意	[zung1 ji3]		[zung1 ji3] 喜欢，喜爱，中意〈动〉
鎖匙	[so2 si4]		[so2 si4] 钥匙〈名〉
鑊氣	[wok6 hei3]		[wok6 hei3] 锅气（高温烈火炒菜产生的独特香气）〈名〉
閂	[saan1]		[saan1] 关，闭（门窗）〈动〉
閉翳	[bai3 ai3]		[bai3 ai3] 发愁，忧愁，心情烦闷不畅〈形〉
開	[hoi1]		[hoi1] 开，打开，开始〈动〉
開OT	[hoi1 ou1 ti1]		[hoi1 ou1 ti1] 加班（OT即Overtime）〈动〉
開心	[hoi1 sam1]		[hoi1 sam1] 开心，愉快〈形〉
開會	[hoi1 wui2]		[hoi1 wui2] 开会〈动〉
阿公	[aa3 gung1]		[aa3 gung1] 外公，姥爷〈名〉
阿哥	[aa3 go1]		[aa3 go1] 哥哥〈名〉
阿媽	[aa3 maa1]		[aa3 maa1] 妈妈〈名〉
阿嫂	[aa3 sou2]		[aa3 sou2] 嫂子〈名〉
阿嫲	[aa3 maa4]		[aa3 maa4] 奶奶，祖母〈名〉
阿爸	[aa3 baa1]		[aa3 baa1] 爸爸〈名〉
阿爺	[aa3 je4]		[aa3 je4] 爷爷，祖父〈名〉
陣	[zan6]		[zan6] 阵，一阵子（时间或风雨等）〈量/名〉
