Aas	[aːs]		死肉；腐肉〈n.〉
Adler	[adlɐ]		鹰〈n.m.〉
Admiral	[admɪʁaːl]		海军上将〈n.m.〉
Adoption	[aːdɔpt͡sjoːn]		采用；采纳；收养〈n.f.〉
Adrenalin	[adʁənaliːn]		肾上腺素〈n.〉
Adresse	[adʁəsə]		地址〈n.f.〉
Affe	[afə]		猴子〈n.m.〉
Affäre	[afɛʁə]		绯闻；事件〈n.f.〉
Afghanistan	[afɡhanɪstaːn]		阿富汗〈n.〉
Afrika	[afʁɪka]		非洲〈n.〉
Afrikanische	[afʁɪkanɪʃə]		非洲事物；非洲风格〈n.〉
Agent	[aːɡənt]		特工；代理人〈n.m.〉
Agentur	[aːɡəntuːɐ]		中介机构〈n.f.〉
Aggression	[aɡʁəsɪoːn]		侵犯；侵略；攻击〈n.f.〉
Agieren	[aːɡiːʁən]		秘密行动；秘密；鬼祟〈n.〉
Ahnung	[aːnʊnk]		概念；线索〈n.f.〉
Akademie	[aːkadəmiː]		学院；院校；学会〈n.f.〉
Akt	[akt]		行为；一幕〈n.m.〉
Akte	[aktə]		档案〈n.f.〉
Aktenkoffer	[aktənkɔfɐ]		公事包〈n.m.〉
Aktentasche	[aktəntaʃə]		公文包；公事包〈n.f.〉
Aktie	[aktiː]		股票〈n.f.〉
Aktion	[akt͡sjoːn]		行动〈n.f.〉
Aktive	[aktɪfə]		积极分子；在役人员〈n.〉
Aktivität	[aktɪfɪtɛːt]		活动〈n.f.〉
Aktuelle	[aktʊələ]		辩论；讨论；争论〈n.〉
Akzent	[akt͡sənt]		口音〈n.m.〉
Alabama	[aːlabama]		亚拉巴马州〈n.〉
Alarm	[aːlaʁm]		警报〈n.m.〉
Alarmanlage	[aːlaʁmanlaɡə]		惊恐；警报〈n.f.〉
Alarmbereitschaft	[aːlaʁmbəʁaɪt͡ʃaft]		戒备状态；警戒就绪〈n.f.〉
Alarmstufe	[aːlaʁmstʊfə]		警报级别；警戒等级〈n.f.〉
Alaska	[aːlaska]		阿拉斯加州〈n.〉
Albtraum	[albtʁaʊm]		噩梦〈n.m.〉
Album	[albuːm]		粘贴簿；唱片套；白色物〈n.〉
Ale	[aːlə]		麦芽酒〈n.〉
Algerien	[alɡəʁiːn]		阿尔及利亚〈n.〉
Alibi	[aːlɪbɪ]		不在场证明〈n.〉
Alkohol	[alkoːoːl]		酒精〈n.m.〉
Allah	[alaː]		安拉〈n.m.〉
Allergie	[aləʁɡiː]		变应性；反感；厌恶；变态反应〈n.f.〉
Allianz	[alɪant͡s]		联盟〈n.f.〉
Alligator	[alɪɡatoːɐ]		短吻鳄〈n.m.〉
Allmächtige	[almɛçtɪɡə]		全能者；上帝〈n.m.〉
Alltag	[altaːk]		日常生活；平日〈n.m.〉
Alma	[alma]		丰饶之母；母校〈n.〉
Almosen	[almɔzən]		施舍；救济金；救济品〈n.〉
Alpen	[alpən]		阿尔卑斯山〈n.〉
Alpha	[alfa]		阿尔法〈n.〉
Alphabet	[alfabət]		字母；字母表〈n.〉
Altar	[altaːɐ]		圣坛；祭坛〈n.m.〉
Alter	[altɐ]		年龄〈n.〉
Altern	[altɐn]		变老；成熟；老化；陈化〈n.〉
Alternative	[altəʁnatɪfə]		替代方案〈n.f.〉
Alzheimer	[alt͡shaɪmɐ]		早老性痴呆；阿耳滋海默氏病〈n.〉
Amateur	[aːmatɔʏɐ]		业余爱好者；外行；爱好者；业余家〈n.m.〉
Ambitionen	[ambɪt͡sjoːnən]		气质；耐力；勇气〈n.〉
Amerika	[aːməʁɪka]		美国〈n.〉
Amerikaner	[aːməʁɪkanɐ]		美国人〈n.m.〉
Amerikanisches	[aːməʁɪkanɪʃəs]		美洲事物；美国风格〈n.〉
Ami	[aːmɪ]		新英格兰人；北方诸州的人；美国佬〈n.m.〉
Amor	[aːmoːɐ]		丘比特；丘比特画像；美男孩〈n.m.〉
Ampel	[ampəl]		绞死；绞杀；悬挂；绞刑〈n.f.〉
Amsterdam	[amstəʁdaːm]		阿姆斯特丹〈n.〉
Amt	[amt]		办公室；部；公职〈n.〉
Amulett	[aːmʊlət]		护身符〈n.〉
Analyse	[aːnalʏzə]		分析〈n.f.〉
Ananas	[aːnanas]		凤梨；菠萝；失业救济金〈n.f.〉
Anarchie	[aːnaʁçiː]		无政府状态；政治混乱；混乱；无秩序〈n.f.〉
Anblick	[anblɪk]		景象〈n.m.〉
Anbringen	[anbʁɪnɡən]		应用；申请；志愿书〈n.〉
Andenken	[andənkən]		纪念品〈n.〉
Anerkennung	[aːnəʁkənʊnk]		认可〈n.f.〉
Anfall	[anfal]		发作〈n.m.〉
Anfang	[anfank]		开始〈n.m.〉
Anflug	[anfluːk]		接近；入门；近似〈n.m.〉
Anfrage	[anfʁaɡə]		询问；询价；询盘〈n.f.〉
Anfänger	[anfɛnɡɐ]		初学者〈n.m.〉
Anführer	[anfyːʁɐ]		领袖〈n.m.〉
Angaben	[anɡabən]		详细资料〈n.〉
Angeber	[anɡəbɐ]		自夸的人〈n.m.〉
Angebot	[anɡəboːt]		提议；供应〈n.〉
Angehörige	[anɡeːœʁɪɡə]		成员〈n.〉
Angelegenheit	[anɡələɡənhaɪt]		事务〈n.f.〉
Angesicht	[anɡəzɪçt]		面临〈n.〉
Angewohnheit	[anɡəvoːnhaɪt]		习惯；嗜好〈n.f.〉
Angreifer	[anɡʁaɪfɐ]		侵略者；挑畔者；攻击者〈n.m.〉
Angriff	[anɡʁɪf]		攻击〈n.m.〉
Angst	[anɡst]		害怕；焦虑〈n.f.〉
Anhalter	[anhaltɐ]		搭便车的旅行者〈n.m.〉
Anhaltspunkt	[anhaltspʊnkt]		引导者；导游；指南〈n.m.〉
Anhänger	[anhɛnɡɐ]		支持者；追随者；拖车；挂车；吊坠〈n.m.〉
Anhörung	[anhœʁʊnk]		听证会〈n.f.〉
Anker	[ankɐ]		使固定；锚〈n.m.〉
Anklage	[anklaɡə]		指控〈n.f.〉
Anklopfen	[anklɔpfən]		呼叫；访问；打电话〈n.〉
Ankunft	[ankʊnft]		到达〈n.f.〉
Ankündigung	[ankʏndɪɡʊnk]		注意；布告；通知〈n.f.〉
Anlage	[anlaɡə]		设施；附件〈n.f.〉
Anlass	[anlas]		缘由〈n.m.〉
Anleitung	[anlaɪtʊnk]		指令；教导；命令〈n.f.〉
Anmarsch	[anmaʁʃ]		前进；进展〈n.m.〉
Anmeldung	[anməldʊnk]		登记；挂号；注册〈n.f.〉
Anmut	[anmuːt]		优雅；风度；慈悲〈n.f.〉
Annahme	[anaːmə]		假设〈n.f.〉
Anomalie	[aːnɔmaliː]		异常；不规则；异形〈n.f.〉
Anordnung	[aːnɔʁdnʊnk]		次序；规则；命令〈n.f.〉
Anpassen	[anpasən]		西服料〈n.〉
Anpassung	[anpasʊnk]		适应；改编本；适应性的变化〈n.f.〉
Anruf	[anʁuːf]		来电〈n.m.〉
Anrufer	[anʁʊfɐ]		访客；召集员〈n.m.〉
Ansage	[anzaɡə]		声音；嗓音；嗓子〈n.f.〉
Ansager	[anzaɡɐ]		节目报告员；宣告者〈n.m.〉
Ansatz	[anzat͡s]		基础；入门；雏形〈n.m.〉
Anschein	[anʃaɪn]		颜色；面色；颜料〈n.m.〉
Anschlag	[anʃlaːk]		袭击〈n.m.〉
Anschluss	[anʃlʊs]		港口；埠；舱门〈n.m.〉
Ansicht	[anzɪçt]		观点〈n.f.〉
Ansprechen	[anspʁəçən]		反应；反作用；反动〈n.〉
Anspruch	[anspʁuːx]		要求；资格〈n.m.〉
Anstand	[anstant]		优雅；风度；慈悲〈n.m.〉
Anstellung	[anstəlʊnk]		雇用；职业；工作〈n.f.〉
Anstieg	[anstiːk]		上升；提高；攀登〈n.m.〉
Anstrengung	[anstʁənɡʊnk]		努力；成就〈n.f.〉
Anteil	[antaɪl]		份额〈n.m.〉
Antenne	[antənə]		天线；触须；触角〈n.f.〉
Antrag	[antʁaːk]		申请〈n.m.〉
Antrieb	[antʁiːp]		开动；激励；激动；感动〈n.m.〉
Antwort	[antvɔʁt]		回答〈n.f.〉
Anwalt	[anvalt]		律师〈n.m.〉
Anweisung	[anvaɪzʊnk]		指示〈n.f.〉
Anwendung	[anvəndʊnk]		应用；申请；志愿书〈n.f.〉
Anwesen	[anvəzən]		庄园〈n.〉
Anwesenheit	[anvəzənhaɪt]		出席；面前；存在〈n.f.〉
Anwältin	[anvɛltiːn]		女律师〈n.f.〉
Anzahl	[ant͡saːl]		数量〈n.f.〉
Anzahlung	[ant͡saːlʊnk]		预付定金；分期付款的首次交款〈n.f.〉
Anzeichen	[ant͡saɪçən]		迹象〈n.〉
Anzeige	[ant͡saɪɡə]		广告；举报〈n.f.〉
Anziehungskraft	[ant͡siːʊnɡskʁaft]		吸引；吸引人的事物；吸引力〈n.f.〉
Anzug	[ant͡suːk]		西装〈n.m.〉
Anzünden	[ant͡sʏndən]		照明；照明设备；舞台灯光〈n.〉
Apartment	[aːpaʁtmənt]		公寓〈n.〉
Apfel	[apfəl]		苹果〈n.m.〉
Apokalypse	[aːpɔkalʏpzə]		启示；天启〈n.f.〉
Apotheke	[aːpɔtəkə]		药房；配药学；制药业；药学〈n.f.〉
Apotheker	[aːpɔtəkɐ]		药师；药品商；药商〈n.m.〉
Apparat	[apaʁaːt]		装置〈n.m.〉
Appartement	[apaʁtəmənt]		小公寓；套房〈n.〉
Appell	[apəl]		恳求；诉请；上诉〈n.m.〉
Appetit	[apətiːt]		食欲〈n.m.〉
Applaus	[aplaʊs]		掌声〈n.m.〉
April	[apʁiːl]		四月〈n.m.〉
Aquarium	[akvaʁɪuːm]		水族馆；养鱼池；水草缸；培养缸〈n.〉
Araber	[aːʁabɐ]		阿拉伯人〈n.m.〉
Arbeit	[aʁbaɪt]		工作〈n.f.〉
Arbeiter	[aʁbaɪtɐ]		工人〈n.m.〉
Arbeitgeber	[aʁbaɪtɡəbɐ]		雇主；老板；业主〈n.m.〉
Arbeitsplatz	[aʁbaɪtsplat͡s]		工作场所；工厂；车间〈n.m.〉
Arbeitstag	[aʁbaɪtstaːk]		工作日〈n.m.〉
Arbeitszimmer	[aʁbaɪtst͡sɪmɐ]		学习；研究；学科〈n.〉
Architekt	[aʁçɪtəkt]		建筑师；设计者；缔造者〈n.m.〉
Architektur	[aʁçɪtəktuːɐ]		建筑学〈n.f.〉
Archiv	[aʁçiːf]		档案文件；挡案库；存档〈n.〉
Arena	[aːʁəna]		角斗场；舞台；场地；尿沉渣〈n.f.〉
Argentinien	[aʁɡəntɪniːn]		阿根廷〈n.〉
Argument	[aʁɡʊmənt]		论据〈n.〉
Arizona	[aːʁɪt͡sɔna]		亚利桑那州〈n.〉
Armband	[aʁmbant]		手镯；腕带；腕纹〈n.〉
Armee	[aʁmeː]		军队〈n.f.〉
Armut	[aʁmuːt]		贫穷；贫困；缺乏；贫乏〈n.f.〉
Arrangement	[aʁanɡəmənt]		排列；整齐；安排〈n.〉
Arroganz	[aʁɔɡant͡s]		傲慢态度；自大〈n.f.〉
Arsenal	[aʁzənaːl]		兵工厂；军械库〈n.〉
Art	[aʁt]		种类；方式〈n.f.〉
Artefakt	[aʁtəfakt]		人工制品；制造物；人为现象〈n.〉
Arterie	[aʁtəʁiː]		动脉；干道；要道〈n.f.〉
Artikel	[aʁtɪkəl]		文章；冠词〈n.m.〉
Artillerie	[aʁtɪləʁiː]		火炮；炮兵；炮术〈n.f.〉
Arzt	[aʁt͡st]		医生〈n.m.〉
Asche	[aʃə]		灰烬〈n.f.〉
Aschenbecher	[aʃənbəçɐ]		烟灰缸〈n.m.〉
Asien	[aːziːn]		亚洲〈n.〉
Aspekt	[aspəkt]		旋转；自旋；疾驰〈n.m.〉
Aspirin	[aspɪʁiːn]		阿司匹灵；邻乙酸基苯甲酸〈n.〉
Ass	[as]		幺点；好手；少许〈n.〉
Assistent	[asɪstənt]		助理〈n.m.〉
Assistentin	[asɪstəntiːn]		女助理〈n.f.〉
Asteroiden	[astəʁɔɪdən]		小行星（复数）〈n.〉
Asthma	[astma]		哮喘；气喘〈n.〉
Asyl	[aːzʏl]		庇护；收容所；养育院〈n.〉
Atem	[aːtəm]		呼吸〈n.m.〉
Atemzug	[aːtəmt͡suːk]		呼气；蒸发；散发物；呼出〈n.m.〉
Atlanta	[atlanta]		亚特兰大〈n.〉
Atlantik	[atlantiːk]		大西洋〈n.m.〉
Atlantis	[atlantɪs]		亚特兰蒂斯〈n.〉
Atlas	[atlas]		地图集〈n.m.〉
Atmosphäre	[atmɔsfɛʁə]		气氛〈n.f.〉
Atmung	[atmʊnk]		呼吸；一口气；呼吸作用〈n.f.〉
Attacke	[atakə]		突击；猛击；猛攻〈n.f.〉
Attentäter	[atəntɛtɐ]		暗杀者；刺客；行刺者〈n.m.〉
Audienz	[aʊdiːnt͡s]		听众；观众；读者；听讼〈n.f.〉
Aufbau	[aʊfbaʊ]		建设；搭建；结构；布局〈n.m.〉
Aufbringen	[aʊfbʁɪnɡən]		联系；交际；熟人〈n.〉
Aufenthalt	[aʊfəntalt]		逗留〈n.m.〉
Auffassung	[aʊfasʊnk]		观念；概念；妊娠；受孕〈n.f.〉
Aufführung	[aʊfyːʁʊnk]		施行；工作情况；成绩〈n.f.〉
Auffüllen	[aʊfʏlən]		垫充；垫塞；填料〈n.〉
Aufgabe	[aʊfɡabə]		任务〈n.f.〉
Aufheben	[aʊfhəbən]		纷扰；忙乱；麻烦〈n.〉
Aufhängen	[aʊfhɛnɡən]		障碍；烦恼；大难题；意外停机〈n.〉
Aufkleber	[aʊfkləbɐ]		屠夫；尖刀；刺〈n.m.〉
Aufklärung	[aʊfklɛʁʊnk]		解释；说明；辩解〈n.f.〉
Auflösung	[aʊflœzʊnk]		切断；分离；断绝；解雇〈n.f.〉
Aufmerksamkeit	[aʊfməʁkzamkaɪt]		注意〈n.f.〉
Aufnahme	[aʊfnaːmə]		录制；接纳〈n.f.〉
Aufpasser	[aʊfpasɐ]		看守人；监护者；监工〈n.m.〉
Aufprall	[aʊfpʁal]		跳；跳跃；弹力〈n.m.〉
Aufregung	[aʊfʁəɡʊnk]		激动〈n.f.〉
Aufrichtigkeit	[aʊfʁɪçtɪɡkaɪt]		坦率；正直；公正〈n.f.〉
Aufruf	[aʊfʁuːf]		呼叫；访问；打电话〈n.m.〉
Aufruhr	[aʊfʁuːɐ]		骚动；混乱〈n.m.〉
Aufsatz	[aʊfzat͡s]		随笔；短文；评论〈n.m.〉
Aufschlag	[aʊfʃlaːk]		翻领〈n.m.〉
Aufschrei	[aʊfʃʁaɪ]		大笑；尖啸〈n.m.〉
Aufschub	[aʊfʃuːp]		延期；休会；休会期间；休庭〈n.m.〉
Aufsehen	[aʊfzeːən]		骚动；轰动；搅动〈n.〉
Aufsetzen	[aʊfzət͡sən]		触地；触地得分；着地〈n.〉
Aufsicht	[aʊfzɪçt]		监督；管理〈n.f.〉
Aufstand	[aʊfstant]		起义〈n.m.〉
Aufsteigen	[aʊfstaɪɡən]		上升；耶稣升天〈n.〉
Aufstellung	[aʊfstəlʊnk]		逐条列记；详细说明〈n.f.〉
Aufstieg	[aʊfstiːk]		攀登；上升；爬〈n.m.〉
Auftrag	[aʊftʁaːk]		任务；订单〈n.m.〉
Auftraggeber	[aʊftʁaɡəbɐ]		买方；购买者；买主；购买人〈n.m.〉
Auftragskiller	[aʊftʁaɡskɪlɐ]		合约；婚约〈n.m.〉
Auftritt	[aʊftʁɪt]		登场〈n.m.〉
Aufwand	[aʊfvant]		费用；经费；支出；花费〈n.m.〉
Aufwecken	[aʊfvəkən]		唤醒；叫醒〈n.〉
Aufwuchs	[aʊfvʊks]		固着生物；水生附着生物〈n.m.〉
Aufwärmen	[aʊfvɛʁmən]		准备动作；热身；预热〈n.〉
Aufzeichnung	[aʊft͡saɪçnʊnk]		记录〈n.f.〉
Aufzeichnungen	[aʊft͡saɪçnʊnɡən]		火车；列车；行列〈n.〉
Aufzug	[aʊft͡suːk]		举起；帮助；昂扬〈n.m.〉
Auge	[aʊɡə]		眼睛〈n.〉
Augenblick	[aʊɡənblɪk]		瞬间〈n.m.〉
Ausbilder	[aʊsbɪldɐ]		教练；教官；训练员〈n.m.〉
Ausbildung	[aʊsbɪldʊnk]		培训〈n.f.〉
Ausblick	[aʊsblɪk]		观点；景色；前途〈n.m.〉
Ausbrechen	[aʊsbʁəçən]		逃脱；突围；爆发〈n.〉
Ausbruch	[aʊsbʁuːx]		越狱；大笑起来〈n.m.〉
Auschwitz	[aʊʃvɪt͡s]		奥施维茨〈n.〉
Ausdauer	[aʊsdaʊɐ]		勤勉；刻苦；殷勤〈n.f.〉
Ausdruck	[aʊsdʁʊk]		表达〈n.m.〉
Ausdrucksweise	[aʊsdʁʊksvaɪzə]		习语；成语；惯用语法〈n.f.〉
Auseinandersetzung	[aʊzaɪnandəʁzət͡sʊnk]		磨损；打架〈n.f.〉
Ausfahrt	[aʊsfaːʁt]		出口；退场；离去〈n.f.〉
Ausflug	[aʊsfluːk]		旅行；绊倒；摔倒〈n.m.〉
Ausführung	[aʊsfyːʁʊnk]		实行；完成；执行〈n.f.〉
Ausfüllen	[aʊsfʏlən]		完成；完井；结束；完工〈n.〉
Ausgabe	[aʊsɡabə]		发行；问题；后果〈n.f.〉
Ausgaben	[aʊsɡabən]		经费；开销；开支〈n.〉
Ausgang	[aʊsɡank]		出口〈n.m.〉
Ausgangssperre	[aʊsɡanɡspəʁə]		晚钟；打晚钟时刻；宵禁〈n.f.〉
Ausgleich	[aʊsɡlaɪç]		补偿；赔偿金；工资；代偿〈n.m.〉
Aushandeln	[aʊshandəln]		谈判；磋商；交涉〈n.〉
Auskunft	[aʊskʊnft]		消息；知识；通知〈n.f.〉
Ausland	[aʊslant]		国外〈n.〉
Auslöser	[aʊslœzɐ]		触发器；扳机；触发；发射〈n.m.〉
Ausmaß	[aʊsmaːs]		巨大；重大；重要〈n.〉
Ausnahme	[aʊsnaːmə]		例外〈n.f.〉
Ausnutzen	[aʊsnʊt͡sən]		功绩；勋绩；开发；利用〈n.〉
Ausrede	[aʊsʁədə]		借口〈n.f.〉
Ausrüstung	[aʊsʁʏstʊnk]		装备〈n.f.〉
Aussage	[aʊsaɡə]		陈述〈n.f.〉
Ausschau	[aʊsçaʊ]		留意〈n.m.〉
Ausschnitt	[aʊsçnɪt]		部分；局部；零件〈n.m.〉
Ausschuss	[aʊsçʊs]		委员会〈n.m.〉
Aussicht	[aʊsɪçt]		景色；前景〈n.f.〉
Ausstattung	[aʊstatʊnk]		结构；表面配置；外形〈n.f.〉
Ausstellen	[aʊstələn]		发行；发布；发给〈n.〉
Ausstellung	[aʊstəlʊnk]		表现；展览会；展览品；投药〈n.f.〉
Ausstrahlung	[aʊstʁaːlʊnk]		辐射；放射〈n.f.〉
Austausch	[aʊstaʊʃ]		交流〈n.m.〉
Austern	[aʊstɐn]		牡蛎〈n.〉
Austin	[aʊstiːn]		奥斯丁；英国制汽车牌名〈n.〉
Australien	[aʊstʁaliːn]		澳大利亚〈n.〉
Auswahl	[aʊsvaːl]		选择〈n.f.〉
Ausweg	[aʊsvək]		出路〈n.m.〉
Ausweichen	[aʊsvaɪçən]		逃避；藉口；回避；规避〈n.〉
Ausweis	[aʊsvaɪs]		证件〈n.m.〉
Auswirkungen	[aʊsvɪʁkʊnɡən]		冲击；冲突；影响〈n.〉
Auszeichnung	[aʊst͡saɪçnʊnk]		荣誉；赞美；骑士爵位的授予礼〈n.f.〉
Auszeit	[aʊst͡saɪt]		暂停；超时〈n.f.〉
Ausüben	[aʊzʏbən]		强烈呼吁〈n.〉
Auto	[aʊtɔ]		汽车〈n.〉
Autobahn	[aʊtɔbaːn]		高速公路〈n.f.〉
Autogramm	[aʊtɔɡʁam]		亲笔；亲笔签名〈n.〉
Autopsie	[aʊtɔpziː]		尸检〈n.f.〉
Autor	[aʊtoːɐ]		作者〈n.m.〉
Autoren	[aʊtɔʁən]		作者；作家（复数）〈n.〉
Autorität	[aʊtɔʁɪtɛːt]		威信〈n.f.〉
Autoschlüssel	[aʊtɔʃlʏsəl]		汽车；客车；车〈n.m.〉
Autotür	[aʊtɔtyːɐ]		车门〈n.f.〉
Autounfall	[aʊtɔʊnfal]		车祸〈n.m.〉
Außenminister	[aʊsənmɪnɪstɐ]		外交部长；外长〈n.m.〉
Außenministerium	[aʊsənmɪnɪstəʁɪuːm]		外交部〈n.〉
Außenposten	[aʊsənpɔstən]		前哨；前哨部队；前哨基地〈n.m.〉
Außenseiter	[aʊsənzaɪtɐ]		外人；局外人；非会员〈n.m.〉
Außerirdische	[aʊsəʁɪʁdɪʃə]		外星人；外星生物〈n.〉
Avatar	[aːfataːɐ]		天神下凡化作人形；化身〈n.m.〉
Axel	[aksəl]		前外一周半跳〈n.m.〉
Axt	[akst]		斧；斧头；削减〈n.f.〉
Baby	[baːbʏ]		婴儿〈n.〉
Babylon	[baːbʏloːn]		巴比伦〈n.〉
Babysitten	[baːbʏzɪtən]		当临时保姆〈n.〉
Bach	[baːx]		小溪〈n.m.〉
Backbord	[bakbɔʁt]		港口；埠；舱门〈n.〉
Bad	[baːt]		浴室；洗澡〈n.〉
Badehose	[baːdeːɔzə]		泳裤〈n.f.〉
Bademantel	[baːdəmantəl]		沐浴；浴室；浴〈n.m.〉
Badewanne	[baːdəvanə]		沐浴；浴室；浴〈n.f.〉
Badezimmer	[baːdət͡sɪmɐ]		浴室〈n.〉
Bahamas	[baːamas]		巴哈马群岛〈n.〉
Bahn	[baːn]		火车；轨道〈n.f.〉
Bahnhof	[baːnhoːf]		火车站〈n.m.〉
Bahnsteig	[baːnstaɪk]		站台；月台；讲台〈n.m.〉
Balboa	[balbɔa]		巴波亚〈n.m.〉
Balken	[balkən]		横梁；杆；光线〈n.m.〉
Balkon	[balkoːn]		阳台；戏院楼厅〈n.m.〉
Ball	[bal]		球〈n.m.〉
Ballett	[balət]		芭蕾舞〈n.〉
Ballon	[baloːn]		激增〈n.m.〉
Banane	[baːnanə]		香蕉〈n.f.〉
Bananen	[baːnanən]		香蕉〈n.〉
Band	[bant]		带子；乐队〈n.〉
Bande	[bandə]		帮派〈n.f.〉
Bandit	[bandiːt]		强盗〈n.m.〉
Banditen	[bandɪtən]		边缘；边境；边界〈n.〉
Bangkok	[banɡkoːk]		曼谷〈n.〉
Bank	[bank]		银行〈n.f.〉
Bankett	[bankət]		宴会〈n.〉
Bankier	[bankiːɐ]		银行家；庄家；银行业者〈n.m.〉
Bankkonto	[bankɔntɔ]		银行存款；银行往来帐户〈n.〉
Bann	[ban]		禁令；禁止；取缔〈n.m.〉
Banner	[banɐ]		横幅；旗帜；标语牌〈n.〉
Bar	[baːɐ]		酒吧〈n.f.〉
Baracke	[baːʁakə]		简易营房；工棚；兵营〈n.f.〉
Barcelona	[baʁkəlɔna]		巴塞罗那〈n.〉
Bares	[baːʁəs]		硬币；现金〈n.〉
Bargeld	[baʁɡəlt]		现金〈n.〉
Barmherzigkeit	[baʁmhəʁt͡sɪɡkaɪt]		仁慈；宽恕；慈悲〈n.f.〉
Baron	[baːʁoːn]		男爵〈n.m.〉
Baronin	[baːʁɔniːn]		男爵夫人；女性男爵〈n.f.〉
Barriere	[baʁiːʁə]		弹幕〈n.f.〉
Bart	[baʁt]		胡须〈n.m.〉
Base	[baːzə]		底部；垒；基础〈n.f.〉
Baseball	[baːzəbal]		棒球〈n.m.〉
