abaisser	[abese]		降低；放下〈v.〉
accompli	[akɔ̃pli]		完成的；圆满的〈adj.〉
accomplir	[akɔ̃pliʁ]		完成；实现〈v.〉
accord	[akɔʁ]		同意；一致；协议〈n.m.〉
accorder	[akɔʁde]		给予；准许；调音〈v.〉
accordéon	[akɔʁdeɔ̃]		手风琴〈n.m.〉
accouchement	[akuʃəmɑ̃]		分娩；生产〈n.m.〉
accoucher	[akuʃe]		分娩；生产〈v.〉
accoupler	[akuple]		使交配；使成对〈v.〉
accourir	[akuʁiʁ]		跑来；赶来〈v.〉
accro	[akʁo]		上瘾的；着迷的〈adj.〉
accrochage	[akʁoʃaʒ]		碰撞（车辆）；口角〈n.m.〉
accrocher	[akʁoʃe]		挂；钩住〈v.〉
accroître	[akʁwatʁ]		增加；增长〈v.〉
accueil	[akœj]		接待；前台〈n.m.〉
accueillant	[akœjɑ̃]		热情接待的；好客的〈adj.〉
accueillir	[akœjiʁ]		迎接；接待〈v.〉
accumuler	[akymyle]		积累；堆积〈v.〉
accusation	[akyzasjɔ̃]		指控；控告〈n.f.〉
accuser	[akyze]		指控；指责〈v.〉
accusé	[akyze]		被告〈n.m.〉
accès	[aksɛ]		通道；权限〈n.m.〉
accéder	[aksede]		进入；获得〈v.〉
accélérateur	[akseleʁatœʁ]		加速器；油门〈n.m.〉
accélérer	[akseleʁe]		加速〈v.〉
acharner	[aʃaʁne]		猛攻；发狠〈v.〉
achat	[aʃa]		购买；采购〈n.m.〉
acheter	[aʃəte]		买；购买〈v.〉
acheteur	[aʃətœʁ]		买家；买主〈n.m.〉
achever	[aʃəve]		完成；结束〈v.〉
acide	[asid]		酸；酸的；尖刻的〈n.m.〉
acier	[asje]		钢〈n.m.〉
aciérie	[asjeʁi]		炼钢厂〈n.f.〉
acompte	[akɔ̃t]		定金；分期付款〈n.m.〉
acquisition	[akizisjɔ̃]		获得；购置〈n.f.〉
acquitter	[akite]		宣判无罪；清偿〈v.〉
acquérir	[akeʁiʁ]		获得；购得〈v.〉
acrobate	[akʁobat]		杂技演员〈n.〉
acte	[akt]		行为；（戏剧）幕〈n.m.〉
acteur	[aktœʁ]		演员〈n.m.〉
actif	[aktif]		积极的；活跃的〈adj.〉
action	[aksjɔ̃]		行动；行为〈n.f.〉
actionnaire	[aksjonɛʁ]		股东〈n.〉
activation	[aktivasjɔ̃]		激活；启动〈n.f.〉
activer	[aktive]		使加速；激活〈v.〉
activité	[aktivite]		活动〈n.f.〉
activé	[aktive]		已激活的；接通的〈adj.〉
actualité	[aktɥalite]		时事；新闻〈n.f.〉
actuel	[aktɥɛl]		目前的；当前的〈adj.〉
actuellement	[aktɥɛləmɑ̃]		目前；现今〈adv.〉
adaptation	[adaptasjɔ̃]		适应；改编〈n.f.〉
adapter	[adapte]		使适应；改编〈v.〉
addition	[adisjɔ̃]		账单；加法〈n.f.〉
adepte	[adɛpt]		信徒；追随者〈n.〉
adhérer	[adeʁe]		加入；粘附；赞同〈v.〉
adieu	[adjø]		告别；永别〈n.m.〉
adjoint	[adʒwɛ̃]		副手；助理〈n.m.〉
adjudant	[adʒydɑ̃]		军士（军衔）〈n.m.〉
admettre	[admɛtʁ]		承认；准许进入〈v.〉
administrateur	[administʁatœʁ]		管理员；行政人员〈n.m.〉
administratif	[administʁatif]		行政的〈adj.〉
administration	[administʁasjɔ̃]		行政；管理〈n.f.〉
administrer	[administʁe]		管理；投药〈v.〉
admirable	[admiʁabl]		令人赞叹的〈adj.〉
admirateur	[admiʁatœʁ]		崇拜者；爱慕者〈n.m.〉
admiration	[admiʁasjɔ̃]		钦佩；赞赏〈n.f.〉
admirer	[admiʁe]		欣赏；钦佩〈v.〉
admission	[admisjɔ̃]		录取；接纳〈n.f.〉
ado	[ado]		青少年（口语）〈n.〉
adolescence	[adolesɑ̃s]		青春期〈n.f.〉
adolescent	[adolesɑ̃]		青少年〈n.m.〉
adopter	[adɔpte]		采用；收养〈v.〉
adoptif	[adɔptif]		收养的〈adj.〉
adoption	[adɔpsjɔ̃]		收养；采用〈n.f.〉
adorable	[adoʁabl]		可爱的；讨人喜欢的〈adj.〉
adorer	[adoʁe]		热爱；酷爱〈v.〉
adoucir	[adusiʁ]		使柔和；缓和〈v.〉
adresse	[adʁɛs]		地址；住址〈n.f.〉
adresser	[adʁese]		寄给；向…提出〈v.〉
adrénaline	[adʁenalin]		肾上腺素〈n.f.〉
adulte	[adylt]		成年人；成年的〈n.〉
adultère	[adyltɛʁ]		通奸〈n.m.〉
advenir	[advəniʁ]		发生（书面）〈v.〉
adversaire	[advɛʁsɛʁ]		对手；敌手〈n.〉
adéquat	[adekwa]		适当的；足够的〈adj.〉
affaiblir	[afebliʁ]		削弱；使衰弱〈v.〉
affaire	[afɛʁ]		事情；事务；生意〈n.f.〉
affairer	[afɛʁe]		奔忙；操劳〈v.〉
affamer	[afame]		使挨饿〈v.〉
affamé	[afame]		饥饿的；挨饿的〈adj.〉
affectation	[afɛktasjɔ̃]		分配；做作〈n.f.〉
affecter	[afɛkte]		影响；分配；使悲痛〈v.〉
affection	[afɛksjɔ̃]		喜爱；感情〈n.f.〉
affectueux	[afɛktɥø]		深情的；亲切的〈adj.〉
affiche	[afiʃ]		海报；招贴〈n.f.〉
afficher	[afiʃe]		张贴；显示〈v.〉
affirmatif	[afiʁmatif]		肯定的〈adj.〉
affirmer	[afiʁme]		断言；坚称〈v.〉
affliger	[afliʒe]		使悲痛；使苦恼〈v.〉
affoler	[afole]		使惊慌失措〈v.〉
affreusement	[afʁøzəmɑ̃]		可怕地；非常〈adv.〉
affreux	[afʁø]		可怕的；讨厌的〈adj.〉
affront	[afʁɔ̃]		侮辱；冒犯〈n.m.〉
affrontement	[afʁɔ̃təmɑ̃]		冲突；对抗〈n.m.〉
affronter	[afʁɔ̃te]		面对；对抗〈v.〉
afin de	[afɛ̃də]		为了〈prép.〉
afin que	[afɛ̃k]		以便；为了（后接虚拟式）〈conj.〉
africain	[afʁikɛ̃]		非洲的；非洲人〈adj.〉
agacer	[agase]		惹恼；使烦躁〈v.〉
agence	[aʒɑ̃s]		事务所；中介机构〈n.f.〉
agenda	[aʒɛ̃da]		日程本；日程安排〈n.m.〉
agenouiller	[aʒənuje]		（使）跪下〈v.〉
agent	[aʒɑ̃]		代理人；特工；警探〈n.m.〉
aggraver	[agʁave]		加重；使恶化〈v.〉
agile	[aʒil]		敏捷的；灵活的〈adj.〉
agir	[aʒiʁ]		行动；行事〈v.〉
agitation	[aʒitasjɔ̃]		骚动；激动〈n.f.〉
agiter	[aʒite]		摇动；使不安〈v.〉
agité	[aʒite]		焦躁的；动荡的〈adj.〉
agneau	[aɲo]		羔羊；羊肉〈n.m.〉
agonie	[agoni]		垂死；极度痛苦〈n.f.〉
agrandir	[agʁɑ̃diʁ]		扩大；放大〈v.〉
agresser	[agʁese]		袭击；侵犯〈v.〉
agresseur	[agʁɛsœʁ]		侵犯者；攻击者〈n.m.〉
agressif	[agʁɛsif]		好斗的；挑衅的〈adj.〉
agression	[agʁɛsjɔ̃]		袭击；侵犯〈n.f.〉
agressivité	[agʁesivite]		攻击性；好斗〈n.f.〉
agricole	[agʁikɔl]		农业的〈adj.〉
agriculture	[agʁikyltyʁ]		农业〈n.f.〉
agripper	[agʁipe]		紧紧抓住〈v.〉
agréable	[agʁeabl]		令人愉快的；宜人的〈adj.〉
aide	[ɛd]		帮助；援助；助手〈n.〉
aider	[ede]		帮助〈v.〉
aigle	[ɛgl]		鹰；鹰徽〈n.〉
aigu	[egy]		尖的；尖锐的〈adj.〉
aiguille	[egɥij]		针；指针〈n.f.〉
aiguiser	[egize]		磨快；使敏锐〈v.〉
ail	[aj]		大蒜〈n.m.〉
aile	[ɛl]		翅膀；翼〈n.f.〉
ailleurs	[ajœʁ]		在别处〈adv.〉
aimable	[ɛmabl]		和蔼的；亲切的〈adj.〉
aimant	[ɛmɑ̃]		深情的；慈爱的〈adj.〉
aimer	[eme]		爱；喜欢〈v.〉
aimé	[eme]		心爱的；受爱戴的〈adj.〉
ainsi	[ɛ̃si]		这样；如此；因此〈adv.〉
air	[ɛʁ]		空气；样子；神态〈n.m.〉
aire	[ɛʁ]		场地；（高速路）服务区〈n.f.〉
aise	[ɛz]		自在；安逸〈n.f.〉
aisé	[eze]		富裕的；自在的〈adj.〉
aisément	[ezemɑ̃]		轻而易举地〈adv.〉
ajouter	[aʒute]		添加；补充〈v.〉
ajuster	[aʒyste]		调整；校准〈v.〉
alarme	[alaʁm]		警报；警报器〈n.f.〉
alarmer	[alaʁme]		使惊慌；报警〈v.〉
album	[albɔm]		专辑；相册〈n.m.〉
alchimiste	[alʃimist]		炼金术士〈n.〉
alcool	[alkɔl]		酒精；酒〈n.m.〉
alcoolique	[alkolik]		酗酒者；含酒精的〈n.〉
alentour	[alɑ̃tuʁ]		在周围；四周〈adv.〉
alerte	[alɛʁt]		警报〈n.f.〉
alerter	[alɛʁte]		报警；使警觉〈v.〉
algue	[alg]		海藻；藻类〈n.f.〉
alias	[aljas]		别名；又名〈adv.〉
alibi	[alibi]		不在场证明；托词〈n.m.〉
aligner	[aliɲe]		使排齐；对齐〈v.〉
aliment	[alimɑ̃]		食物；食品〈n.m.〉
alimentaire	[alimɑ̃tɛʁ]		食物的；饮食的〈adj.〉
alimentation	[alimɑ̃tasjɔ̃]		食品；饮食〈n.f.〉
alimenter	[alimɑ̃te]		供给；供养；提供〈v.〉
allemand	[aləmɑ̃]		德语；德国的；德国人〈n.m.〉
aller	[ale]		去；走〈v.〉
aller-retour	[aleʁətuʁ]		往返；来回票〈n.m.〉
allergie	[alɛʁʒi]		过敏；过敏症〈n.f.〉
allergique	[alɛʁʒik]		过敏的〈adj.〉
alliance	[aljɑ̃s]		联盟；结婚戒指〈n.f.〉
allier	[alje]		使结合；使联合〈v.〉
alligator	[aligatɔʁ]		短吻鳄〈n.m.〉
allié	[alje]		盟友；同盟国〈n.m.〉
allo	[alo]		喂（接电话）〈interj.〉
allocation	[alokasjɔ̃]		津贴；补助〈n.f.〉
allonger	[alɔ̃ʒe]		加长；伸长；躺下〈v.〉
allongé	[alɔ̃ʒe]		躺着的；拉长的〈adj.〉
allumer	[alyme]		点燃；打开（电）〈v.〉
allumette	[alymɛt]		火柴〈n.f.〉
allumé	[alyme]		点亮的；点燃的〈adj.〉
allure	[alyʁ]		步态；风采〈n.f.〉
allusion	[alyzjɔ̃]		暗指；影射〈n.f.〉
allée	[ale]		小路；过道〈n.f.〉
alléger	[aleʒe]		减轻；使变轻〈v.〉
alléluia	[aleluja]		哈利路亚〈interj.〉
allô	[alo]		喂（接电话用语）〈interj.〉
alors	[alɔʁ]		那么；那时〈adv.〉
alpha	[alfa]		希腊字母首字；开端〈n.m.〉
alphabet	[alfabɛ]		字母表〈n.m.〉
alternatif	[altɛʁnatif]		替代的；另类的〈adj.〉
alternative	[altɛʁnativ]		替代方案；选择〈n.f.〉
altesse	[altɛs]		殿下（尊称）〈n.f.〉
altitude	[altityd]		海拔；高度〈n.f.〉
altérer	[alteʁe]		改变；使变质；使口渴〈v.〉
aluminium	[alyminjɔm]		铝（金属）〈n.m.〉
amabilité	[amabilite]		和蔼；客气〈n.f.〉
amande	[amɑ̃d]		杏仁〈n.f.〉
amant	[amɑ̃]		情人；情夫〈n.m.〉
amasser	[amase]		积攒；堆积〈v.〉
amateur	[amatœʁ]		业余爱好者；业余的〈n.〉
ambassade	[ɑ̃basad]		大使馆〈n.f.〉
ambassadeur	[ɑ̃basadœʁ]		大使〈n.m.〉
ambiance	[ɑ̃bjɑ̃s]		气氛；氛围〈n.f.〉
ambigu	[ɑ̃bigy]		模棱两可的〈adj.〉
ambitieux	[ɑ̃bisjø]		有抱负的；野心勃勃的〈adj.〉
ambition	[ɑ̃bisjɔ̃]		抱负；野心〈n.f.〉
ambulance	[ɑ̃bylɑ̃s]		救护车〈n.f.〉
ambulant	[ɑ̃bylɑ̃]		流动的；巡回的〈adj.〉
amende	[amɑ̃d]		罚款〈n.f.〉
amendement	[amɑ̃dəmɑ̃]		（法案）修正案〈n.m.〉
amener	[aməne]		带来；领来；导致〈v.〉
amer	[amɛʁ]		苦的；辛酸的〈adj.〉
amertume	[amɛʁtym]		苦味；辛酸；怨恨〈n.f.〉
ami	[ami]		朋友〈n.m.〉
amical	[amikal]		友好的；友谊的〈adj.〉
amigo	[amigo]		朋友（西语借词，口语）〈n.m.〉
amiral	[amiʁal]		海军上将；舰队司令〈n.m.〉
amitié	[amitje]		友谊〈n.f.〉
amnistie	[amnisti]		大赦〈n.f.〉
amnésie	[amnezi]		失忆；遗忘症〈n.f.〉
amnésique	[amnezik]		失忆的〈adj.〉
amocher	[amoʃe]		打伤；揍坏（口语）〈v.〉
amorcer	[amɔʁse]		开始；引发；装饵〈v.〉
amour	[amuʁ]		爱；爱情〈n.m.〉
amour-propre	[amuʁpʁɔpʁ]		自尊心〈n.m.〉
amoureux	[amuʁø]		恋爱的；热恋的〈adj.〉
ampleur	[ɑ̃plœʁ]		规模；幅度〈n.f.〉
ampoule	[ɑ̃pul]		灯泡；水疱〈n.f.〉
amputer	[ɑ̃pyte]		截肢；削减〈v.〉
amulette	[amylɛt]		护身符〈n.f.〉
amusant	[amyzɑ̃]		好玩的；有趣的〈adj.〉
amusement	[amyzəmɑ̃]		娱乐；消遣〈n.m.〉
amuser	[amyze]		逗乐；使开心〈v.〉
amélioration	[ameljoʁasjɔ̃]		改善；改进〈n.f.〉
améliorer	[ameljoʁe]		改善；改进〈v.〉
américain	[ameʁikɛ̃]		美国的；美国人〈adj.〉
an	[ɑ̃]		年；岁〈n.m.〉
anal	[anal]		肛门的〈adj.〉
analyse	[analiz]		分析〈n.f.〉
analyser	[analize]		分析〈v.〉
analyste	[analist]		分析员〈n.〉
anarchie	[anaʁʃi]		无政府状态；混乱〈n.f.〉
anatomie	[anatomi]		解剖；构造〈n.f.〉
ancestral	[ɑ̃sɛstʁal]		祖传的；古老的〈adj.〉
ancien	[ɑ̃sjɛ̃]		古老的；从前的〈adj.〉
ancre	[ɑ̃kʁ]		锚〈n.f.〉
ancêtre	[ɑ̃sɛtʁ]		祖先〈n.〉
andouille	[ɑ̃duj]		猪肉肠；蠢货（口语）〈n.f.〉
anecdote	[anɛkdɔt]		轶事；趣闻〈n.f.〉
anesthésie	[anɛstezi]		麻醉〈n.f.〉
ange	[ɑ̃ʒ]		天使〈n.m.〉
anglais	[ɑ̃glɛ]		英语；英国人〈n.m.〉
angle	[ɑ̃gl]		角；角度〈n.m.〉
angoisse	[ɑ̃gwas]		焦虑；不安〈n.f.〉
angoisser	[ɑ̃gwase]		使焦虑；担忧〈v.〉
anguille	[ɑ̃gij]		鳗鱼〈n.f.〉
animal	[animal]		动物；野兽〈n.m.〉
animateur	[animatœʁ]		主持人；动画师〈n.m.〉
animer	[anime]		使活跃；主持〈v.〉
animé	[anime]		有生气的；热闹的；动画的〈adj.〉
anneau	[ano]		环；圈；环状物〈n.m.〉
anniversaire	[anivɛʁsɛʁ]		生日；周年纪念日〈n.m.〉
annonce	[anɔ̃s]		公告；广告〈n.f.〉
annoncer	[anɔ̃se]		宣布；告知〈v.〉
annuaire	[anɥɛʁ]		号码簿；年鉴〈n.m.〉
annuel	[anɥɛl]		每年的；年度的〈adj.〉
annulation	[anylasjɔ̃]		取消〈n.f.〉
annuler	[anyle]		取消〈v.〉
année	[ane]		年；年份〈n.f.〉
anomalie	[anomali]		异常；反常〈n.f.〉
anonyme	[anonim]		匿名的；无名的〈adj.〉
anormal	[anɔʁmal]		反常的；异常的〈adj.〉
antenne	[ɑ̃tɛn]		天线；（机构）分部〈n.f.〉
antibiotique	[ɑ̃tibjotik]		抗生素〈n.m.〉
anticiper	[ɑ̃tisipe]		预见；提前做〈v.〉
antidote	[ɑ̃tidɔt]		解毒剂〈n.m.〉
antiquaire	[ɑ̃tikɛʁ]		古董商〈n.〉
antique	[ɑ̃tik]		古代的；古老的〈adj.〉
antiquité	[ɑ̃tikite]		古代；古物〈n.f.〉
antre	[ɑ̃tʁ]		兽穴；巢穴〈n.m.〉
antécédent	[ɑ̃tesedɑ̃]		先例；病史；前科〈n.m.〉
antérieur	[ɑ̃teʁjœʁ]		先前的；前面的〈adj.〉
anxieux	[ɑ̃ksjø]		焦虑的；担忧的〈adj.〉
anxiété	[ɑ̃ksjete]		焦虑〈n.f.〉
anéantir	[aneɑ̃tiʁ]		歼灭；使崩溃〈v.〉
août	[ut]		八月〈n.m.〉
apaiser	[apeze]		平息；安抚〈v.〉
apercevoir	[apɛʁsəvwaʁ]		瞥见；察觉〈v.〉
apitoyer	[apitwaje]		激起怜悯；同情〈v.〉
apocalypse	[apokalips]		末日；天启〈n.f.〉
apparaître	[apaʁɛtʁ]		出现；显露〈v.〉
appareil	[apaʁɛj]		器械；设备；器具〈n.m.〉
apparemment	[apaʁamɑ̃]		看来；似乎〈adv.〉
apparence	[apaʁɑ̃s]		外表；外观〈n.f.〉
apparent	[apaʁɑ̃]		表面的；明显的〈adj.〉
apparition	[apaʁisjɔ̃]		出现；显形〈n.f.〉
appart	[apaʁt]		公寓（口语）〈n.m.〉
appartement	[apaʁtəmɑ̃]		公寓；套房〈n.m.〉
appartenir	[apaʁtəniʁ]		属于〈v.〉
appel	[apɛl]		呼唤；电话；呼吁〈n.m.〉
appeler	[apəle]		叫；称呼；打电话〈v.〉
applaudir	[aplodiʁ]		鼓掌〈v.〉
applaudissement	[aplodisəmɑ̃]		掌声〈n.m.〉
application	[aplikasjɔ̃]		应用；申请；勤奋〈n.f.〉
appliquer	[aplike]		应用；施加；涂抹〈v.〉
apporter	[apɔʁte]		带来；拿来〈v.〉
apprendre	[apʁɑ̃dʁ]		学习；得知〈v.〉
apprenti	[apʁɑ̃ti]		学徒〈n.m.〉
apprivoiser	[apʁivwaze]		驯养；使亲近〈v.〉
approbation	[apʁobasjɔ̃]		批准；赞许〈n.f.〉
approche	[apʁɔʃ]		接近；方法〈n.f.〉
approcher	[apʁoʃe]		靠近；接近〈v.〉
approprier	[apʁopʁije]		据为己有；使适合〈v.〉
approprié	[apʁopʁije]		恰当的；适宜的〈adj.〉
approuver	[apʁuve]		赞成；批准〈v.〉
approvisionnement	[apʁovizjɔnəmɑ̃]		供应；补给〈n.m.〉
apprécier	[apʁesje]		欣赏；珍视〈v.〉
appréhender	[apʁeɑ̃de]		担心；领会；拘捕〈v.〉
apprêter	[apʁete]		准备；使就绪；打扮〈v.〉
appui	[apɥi]		支撑；支持〈n.m.〉
appuyer	[apɥije]		按；压；靠〈v.〉
appât	[apa]		诱饵；诱惑物〈n.m.〉
appétit	[apeti]		食欲〈n.m.〉
après	[apʁɛ]		在……之后；后来〈prép.〉
après-demain	[apʁɛdəmɛ̃]		后天〈adv.〉
apte	[apt]		有能力的；胜任的〈adj.〉
aptitude	[aptityd]		能力；资质〈n.f.〉
apéritif	[apeʁitif]		开胃酒〈n.m.〉
apôtre	[apotʁ]		使徒；门徒〈n.m.〉
aquarium	[akwaʁjɔm]		水族馆；鱼缸〈n.m.〉
arabe	[aʁab]		阿拉伯的；阿拉伯人〈n.〉
araignée	[aʁɛɲe]		蜘蛛〈n.f.〉
arbitre	[aʁbitʁ]		裁判〈n.〉
arbre	[aʁbʁ]		树；树木〈n.m.〉
arc	[aʁk]		弓；拱；弧〈n.m.〉
arc-en-ciel	[aʁkɑ̃sjɛl]		彩虹〈n.m.〉
arche	[aʁʃ]		拱；拱顶〈n.f.〉
archer	[aʁʃe]		弓箭手〈n.m.〉
archevêque	[aʁʃəvɛk]		大主教〈n.m.〉
architecte	[aʁʃitɛkt]		建筑师〈n.〉
architecture	[aʁʃitɛktyʁ]		建筑学；建筑风格〈n.f.〉
archive	[aʁʃiv]		档案；档案室〈n.f.〉
archéologue	[aʁkeolɔg]		考古学家〈n.〉
ardent	[aʁdɑ̃]		炽热的；热烈的〈adj.〉
ardeur	[aʁdœʁ]		热情；激烈〈n.f.〉
ardoise	[aʁdwaz]		石板；赊账〈n.f.〉
argent	[aʁʒɑ̃]		钱；金钱〈n.m.〉
argenterie	[aʁʒɑ̃təʁi]		银器〈n.f.〉
argentin	[aʁʒɑ̃tɛ̃]		阿根廷的；银灰色的〈adj.〉
argile	[aʁʒil]		黏土〈n.f.〉
argument	[aʁgymɑ̃]		论据；论点；理由〈n.m.〉
aristocrate	[aʁistokʁat]		贵族〈n.〉
arme	[aʁm]		武器；兵器〈n.f.〉
armement	[aʁməmɑ̃]		军备；军火工业〈n.m.〉
armer	[aʁme]		武装；配备〈v.〉
armoire	[aʁmwaʁ]		衣柜；橱柜〈n.f.〉
armure	[aʁmyʁ]		盔甲〈n.f.〉
armé	[aʁme]		武装的〈adj.〉
armée	[aʁme]		军队；陆军〈n.f.〉
arnaque	[aʁnak]		骗局；诈骗〈n.f.〉
arnaquer	[aʁnake]		诈骗；坑骗〈v.〉
arracher	[aʁaʃe]		拔掉；撕下；夺走〈v.〉
arrangement	[aʁɑ̃ʒəmɑ̃]		安排；协议；整理〈n.m.〉
arranger	[aʁɑ̃ʒe]		安排；整理；解决〈v.〉
arrestation	[aʁɛstasjɔ̃]		逮捕〈n.f.〉
arriver	[aʁive]		到达；发生〈v.〉
arrivée	[aʁive]		到达〈n.f.〉
arrière	[aʁjɛʁ]		后面；后方〈n.m.〉
arrogance	[aʁogɑ̃s]		傲慢〈n.f.〉
arrogant	[aʁogɑ̃]		傲慢的；自大的〈adj.〉
arroser	[aʁoze]		浇水；洒〈v.〉
arrêt	[aʁɛ]		停止；停靠站；逮捕〈n.m.〉
arrêter	[aʁete]		停止；阻止〈v.〉
arrêté	[aʁete]		被捕的；被中止的〈adj.〉
arsenal	[aʁsønal]		兵工厂；军械库〈n.m.〉
art	[aʁ]		艺术〈n.m.〉
artichaut	[aʁtiʃo]		朝鲜蓟〈n.m.〉
article	[aʁtikl]		文章；物品；冠词〈n.m.〉
artifice	[aʁtifis]		巧计；诀窍〈n.m.〉
artificiel	[aʁtifisjɛl]		人造的；人工的〈adj.〉
artillerie	[aʁtijəʁi]		火炮；炮兵〈n.f.〉
artisan	[aʁtizɑ̃]		工匠；手艺人〈n.m.〉
artiste	[aʁtist]		艺术家；艺人〈n.〉
artistique	[aʁtistik]		艺术的；美术的〈adj.〉
artère	[aʁtɛʁ]		动脉；干道〈n.f.〉
arène	[aʁɛn]		竞技场；斗牛场〈n.f.〉
as	[as]		王牌；能手〈n.m.〉
ascenseur	[asɑ̃sœʁ]		电梯〈n.m.〉
ascension	[asɑ̃sjɔ̃]		攀登；上升〈n.f.〉
asiatique	[azjatik]		亚洲的；亚洲人〈adj.〉
asile	[azil]		庇护；收容所〈n.m.〉
aspect	[aspɛ]		方面；外观〈n.m.〉
asperger	[aspɛʁʒe]		喷洒；浇洒〈v.〉
aspirateur	[aspiʁatœʁ]		吸尘器〈n.m.〉
aspiration	[aspiʁasjɔ̃]		渴望；抽吸〈n.f.〉
aspirer	[aspiʁe]		吸入；渴望〈v.〉
aspirine	[aspiʁin]		阿司匹林〈n.f.〉
assaillir	[asajiʁ]		围攻；接连袭来〈v.〉
assassin	[asasɛ̃]		刺客；凶手〈n.m.〉
assassinat	[asasina]		暗杀；谋杀〈n.m.〉
assassiner	[asasine]		暗杀；谋杀〈v.〉
assassiné	[asasine]		被谋杀的〈adj.〉
assaut	[aso]		攻击；突击〈n.m.〉
assembler	[asɑ̃ble]		组装；集合〈v.〉
assemblée	[asɑ̃ble]		议会；大会〈n.f.〉
asseoir	[aswaʁ]		坐；使坐下〈v.〉
assez	[ase]		足够；相当〈adv.〉
assiette	[asjɛt]		盘子〈n.f.〉
assigner	[asiɲe]		指派；传唤〈v.〉
assis	[asi]		坐着的〈adj.〉
assise	[asiz]		基础；底座〈n.f.〉
assistance	[asistɑ̃s]		援助；帮助；观众〈n.f.〉
assistant	[asistɑ̃]		助理；助手〈n.m.〉
assister	[asiste]		参加；观看；协助〈v.〉
association	[asosjasjɔ̃]		协会；联结〈n.f.〉
associer	[asosje]		使联合；联想〈v.〉
associé	[asosje]		合伙人；同事〈n.m.〉
assoiffer	[aswafe]		使口渴；使渴求〈v.〉
assommer	[asome]		击昏；使腻烦〈v.〉
assoupir	[asupiʁ]		打盹；昏昏欲睡〈v.〉
assouvir	[asuviʁ]		满足（欲望）〈v.〉
assumer	[asyme]		承担；接受〈v.〉
assurance	[asyʁɑ̃s]		保险；保证；自信〈n.f.〉
assurer	[asyʁe]		保证；确保〈v.〉
assuré	[asyʁe]		自信的；已投保的〈adj.〉
assurément	[asyʁemɑ̃]		无疑；肯定〈adv.〉
assécher	[aseʃe]		使干涸；吸干〈v.〉
asthme	[asm]		哮喘〈n.m.〉
